k    none    reg    psf1      psf5      psf25
1010  2.2659582567e+00   1.0000215379e+00   1.0160705124e+00   1.0132284314e+00    1.0047869034e+00
1015  2.2618885511e+00   1.0000204717e+00   1.0159701041e+00   1.0131325265e+00    1.0047318666e+00
1020  2.2578528512e+00   1.0000192498e+00   1.0158096707e+00   1.0129759297e+00    1.0046927185e+00
1025  2.2562703560e+00   1.0000182541e+00   1.0157197375e+00   1.0128921969e+00    1.0046371313e+00
1030  2.2512774773e+00   1.0000173252e+00   1.0155892189e+00   1.0128036027e+00    1.0046043098e+00
1035  2.2471270678e+00   1.0000164161e+00   1.0154659168e+00   1.0126947056e+00    1.0045551721e+00
1040  2.2410228659e+00   1.0000156748e+00   1.0153543701e+00   1.0126077622e+00    1.0045131333e+00
1045  2.2356288725e+00   1.0000147214e+00   1.0152582025e+00   1.0125106534e+00    1.0044690444e+00
1050  2.2307619130e+00   1.0000137997e+00   1.0151479789e+00   1.0124034449e+00    1.0044269799e+00
1055  2.2267074943e+00   1.0000129201e+00   1.0149989728e+00   1.0123145845e+00    1.0043755840e+00
1060  2.2242634298e+00   1.0000124236e+00   1.0149017428e+00   1.0122111064e+00    1.0043467183e+00
1065  2.2203369743e+00   1.0000116351e+00   1.0147966641e+00   1.0121079580e+00    1.0043081800e+00
1070  2.2190072211e+00   1.0000111023e+00   1.0147085747e+00   1.0120170827e+00    1.0042669949e+00
1075  2.2140568225e+00   1.0000105679e+00   1.0145702147e+00   1.0119216360e+00    1.0042278097e+00
1080  2.2102588537e+00   1.0000100448e+00   1.0144807259e+00   1.0118428484e+00    1.0041841637e+00
1085  2.2060843395e+00   1.0000094618e+00   1.0143792401e+00   1.0117310315e+00    1.0041469824e+00
1090  2.2037135856e+00   1.0000090753e+00   1.0142922925e+00   1.0116525393e+00    1.0041111031e+00
1095  2.1998468026e+00   1.0000086111e+00   1.0141896143e+00   1.0115663466e+00    1.0040660153e+00
1100  2.1967673343e+00   1.0000080939e+00   1.0140921315e+00   1.0114837546e+00    1.0040382116e+00
1105  2.1894778709e+00   1.0000076687e+00   1.0139969952e+00   1.0113941024e+00    1.0040067820e+00
1110  2.1862923421e+00   1.0000073078e+00   1.0138987619e+00   1.0113128157e+00    1.0039604373e+00
1115  2.1842147054e+00   1.0000069382e+00   1.0137948924e+00   1.0112202941e+00    1.0039337826e+00
1120  2.1790181900e+00   1.0000065849e+00   1.0136795027e+00   1.0111506055e+00    1.0038922674e+00
1125  2.1762424933e+00   1.0000061616e+00   1.0135745076e+00   1.0110784202e+00    1.0038639798e+00
1130  2.1712237177e+00   1.0000059109e+00   1.0135021166e+00   1.0109975109e+00    1.0038242930e+00
1135  2.1684453532e+00   1.0000056638e+00   1.0133908997e+00   1.0109056190e+00    1.0037841704e+00
1140  2.1645999088e+00   1.0000053322e+00   1.0132977438e+00   1.0108443704e+00    1.0037492726e+00
1145  2.1623827273e+00   1.0000050676e+00   1.0132157679e+00   1.0107591987e+00    1.0037163945e+00
1150  2.1596918725e+00   1.0000048324e+00   1.0131219816e+00   1.0106795765e+00    1.0036844596e+00
1155  2.1567737759e+00   1.0000045842e+00   1.0130355322e+00   1.0105843264e+00    1.0036524061e+00
1160  2.1517555174e+00   1.0000043082e+00   1.0129349772e+00   1.0105154423e+00    1.0036225482e+00
1165  2.1475141346e+00   1.0000041242e+00   1.0128451395e+00   1.0104369390e+00    1.0035931368e+00
1170  2.1449905433e+00   1.0000039192e+00   1.0127526953e+00   1.0103349944e+00    1.0035648833e+00
1175  2.1428236864e+00   1.0000036898e+00   1.0126726800e+00   1.0102660272e+00    1.0035388782e+00
1180  2.1370299642e+00   1.0000035342e+00   1.0125851456e+00   1.0102082247e+00    1.0035038020e+00
1185  2.1346031343e+00   1.0000033512e+00   1.0125115175e+00   1.0101259593e+00    1.0034692774e+00
1190  2.1318507390e+00   1.0000031923e+00   1.0124103045e+00   1.0100488261e+00    1.0034438484e+00
1195  2.1257431372e+00   1.0000029631e+00   1.0123201455e+00   1.0099793075e+00    1.0034200592e+00
1200  2.1227045112e+00   1.0000028561e+00   1.0122447503e+00   1.0098970191e+00    1.0033919208e+00
1205  2.1174156582e+00   1.0000027370e+00   1.0121556581e+00   1.0098098534e+00    1.0033596868e+00
1210  2.1145043182e+00   1.0000025773e+00   1.0120992657e+00   1.0097344926e+00    1.0033298856e+00
1215  2.1112959312e+00   1.0000024670e+00   1.0119850683e+00   1.0096706108e+00    1.0033015573e+00
1220  2.1083164725e+00   1.0000023646e+00   1.0119143359e+00   1.0095952268e+00    1.0032766161e+00
