k none reg psf1 psf5 psf25 
309 512606.413762 2.220972 1.048956 1.053306 1.026171
310 510709.435369 2.209847 1.048801 1.053173 1.025988
311 509887.363324 2.199445 1.048706 1.053060 1.025795
312 507993.737158 2.195360 1.048551 1.052884 1.025614
313 507776.696857 2.179829 1.048227 1.052600 1.025592
314 506585.506369 2.165015 1.047840 1.052403 1.025493
315 506256.946317 2.157712 1.047794 1.051991 1.025397
316 505344.543687 2.155954 1.047651 1.051788 1.025273
317 504418.669076 2.144713 1.047504 1.051408 1.025056
318 504219.316637 2.138213 1.047305 1.051245 1.024915
319 502585.883993 2.124858 1.046931 1.051138 1.024777
320 500669.531062 2.117334 1.046633 1.051034 1.024620
321 500274.198366 2.109990 1.046588 1.050812 1.024533
322 499075.442879 2.105269 1.046505 1.050172 1.024289
323 497347.716871 2.091703 1.046197 1.049926 1.024165
324 497226.680499 2.085403 1.045883 1.049672 1.024036
325 496021.397847 2.079187 1.045852 1.049425 1.023976
326 494887.011620 2.071703 1.045455 1.049124 1.023853
327 494013.671118 2.065390 1.045271 1.049010 1.023746
328 493534.239097 2.055479 1.045161 1.048884 1.023629
329 491585.056981 2.038662 1.044971 1.048743 1.023563
330 491321.461179 2.031583 1.044920 1.048548 1.023430
331 490859.478263 2.025082 1.044811 1.048450 1.023337
332 489886.871800 2.018098 1.044732 1.048005 1.023285
333 489210.166506 2.013100 1.044544 1.047861 1.023110
334 488980.486099 2.002408 1.044342 1.047722 1.023050
335 488329.712958 1.997077 1.044177 1.047623 1.022926
336 487275.600584 1.983337 1.043938 1.047459 1.022788
337 486320.906923 1.976495 1.043757 1.047108 1.022676
338 485331.972188 1.966296 1.043350 1.046768 1.022649
339 484867.942053 1.961957 1.043107 1.046586 1.022534
340 484335.205563 1.956048 1.042971 1.046434 1.022496
341 483974.373744 1.952359 1.042869 1.046251 1.022289
342 483352.686328 1.942120 1.042718 1.046068 1.022081
343 482637.443026 1.938801 1.042574 1.045916 1.021863
344 481773.719808 1.932584 1.042487 1.045758 1.021717
345 481072.831604 1.927317 1.042417 1.045568 1.021656
346 480035.942390 1.918467 1.042163 1.045283 1.021480
347 479403.293516 1.909987 1.041675 1.045223 1.021438
348 478391.896988 1.902526 1.041470 1.044877 1.021316
349 478067.321520 1.891261 1.041329 1.044576 1.021181
350 476875.170793 1.888469 1.040969 1.044377 1.021029
351 475284.893238 1.882326 1.040877 1.044177 1.020947
352 474960.227340 1.876564 1.040439 1.044040 1.020872
353 474239.268379 1.870406 1.040334 1.043926 1.020680
354 473301.881141 1.860568 1.039993 1.043802 1.020484
355 472804.047648 1.856884 1.039906 1.043563 1.020442
356 472047.908018 1.852469 1.039687 1.043471 1.020393
357 471241.065620 1.845983 1.039470 1.043056 1.020291
358 471090.452374 1.841968 1.039375 1.042680 1.020150
359 469458.267319 1.833181 1.038808 1.042613 1.020087
360 468500.603141 1.829926 1.038583 1.042525 1.019907
361 467102.971228 1.819146 1.038277 1.042102 1.019865
362 467012.140859 1.813288 1.038179 1.042046 1.019670
363 466396.387495 1.811255 1.037956 1.041868 1.019480
364 466067.743800 1.801425 1.037701 1.041761 1.019412
365 465629.148626 1.798072 1.037511 1.041717 1.019257
366 464292.874099 1.790735 1.037399 1.041611 1.019235
367 462677.791348 1.783842 1.037167 1.041479 1.019178
368 462159.132285 1.780003 1.037038 1.041352 1.019026
369 461702.577576 1.772570 1.036890 1.041079 1.019007
370 460384.334580 1.766871 1.036659 1.040679 1.018884
371 460257.609150 1.758576 1.036462 1.040585 1.018867
372 458503.124709 1.758016 1.036243 1.040500 1.018753
373 457679.740214 1.753747 1.036122 1.040122 1.018740
374 457311.172253 1.745081 1.035871 1.040047 1.018534
375 457228.054878 1.741209 1.035825 1.039813 1.018411
376 455912.250189 1.737429 1.035526 1.039642 1.018226
377 455243.461414 1.735033 1.035404 1.039267 1.018196
378 453829.772801 1.727749 1.035025 1.039231 1.018110
379 453651.187839 1.723362 1.034968 1.039050 1.018053
380 452906.315279 1.722419 1.034700 1.038863 1.017930
381 452565.279550 1.715815 1.034342 1.038802 1.017778
382 452237.994580 1.710997 1.034280 1.038488 1.017741
383 450762.338944 1.706438 1.034218 1.038457 1.017703
384 450271.561507 1.702324 1.034037 1.038367 1.017589
385 449717.011782 1.698751 1.033933 1.038246 1.017558
386 448305.860394 1.688505 1.033808 1.038104 1.017408
387 447433.143765 1.680521 1.033594 1.038089 1.017322
388 446970.851297 1.678197 1.033407 1.037778 1.017254
389 446288.911167 1.675915 1.033086 1.037682 1.017098
390 445990.054913 1.672636 1.033005 1.037375 1.017021
391 445531.828772 1.664673 1.032872 1.037255 1.017018
392 444699.076043 1.660487 1.032696 1.037087 1.016739
393 443656.014258 1.655418 1.032426 1.036611 1.016658
394 443517.994509 1.651597 1.032289 1.036411 1.016615
395 443107.121411 1.646336 1.032067 1.036280 1.016472
396 442113.168164 1.642716 1.031700 1.036135 1.016366
397 441436.946914 1.635915 1.031613 1.035787 1.016351
398 440880.387755 1.632501 1.031427 1.035638 1.016230
399 440546.140709 1.630026 1.031186 1.035426 1.016191
400 439543.080081 1.625884 1.031085 1.035353 1.016134
401 439491.787844 1.618162 1.030878 1.035239 1.015903
402 438607.953973 1.613672 1.030636 1.035164 1.015806
403 438188.193863 1.609643 1.030120 1.034803 1.015703
404 437517.523091 1.607037 1.030004 1.034560 1.015664
405 437068.524045 1.605577 1.029742 1.034500 1.015484
406 436130.622117 1.602629 1.029537 1.034420 1.015468
407 435909.936679 1.598446 1.029443 1.034182 1.015395
408 435320.391618 1.596790 1.029251 1.034077 1.015315
409 434245.636703 1.592422 1.029080 1.033845 1.015197
410 433852.561865 1.588427 1.029044 1.033746 1.015155
